n,days,seed,coverage_ratio,regime,coverage_mode,z_greedy,feas_greedy,t_greedy,z_sa,feas_sa,t_sa,sa_stop,sa_iters,z_exact,proven,gap_solver,dual_bound,match,n_vars,n_cons,t_exact,ref,dz_greedy,gap_greedy,dz_sa,gap_sa,exact_error,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref,exact_p_cob,exact_p_erg,exact_p_car,exact_p_gua,exact_p_cal,exact_p_over,exact_pref
40,28,0,1.1,bounded,hard,37.13881453157489,False,24.830890832992736,0.6600559568700495,True,72.18358183300006,max_iterations,723200,0.20844474324609247,False,0.1749058990029764,0.1719865255239683,True,5054,8354,300.2538092090108,0.1719865255239683,36.96682800605092,214.9402570546096,0.48806943134608116,2.837835288893391,,6.0,23.0,858.3000000000001,10.0,2.0,21.0,0.0,0.0,26.0,425.89999999999975,4.0,2.0,0.0,0.0,0.0,25.0,57.399999999999864,1.0,1.0,0.0,0.0
40,28,1,1.1,bounded,hard,43.08796558110951,False,18.53663333298755,0.6238052971700362,True,61.37721879201126,max_iterations,720000,0.20947657316719354,False,0.1959546530864549,0.16842865188492195,True,5046,8293,300.8971045000071,0.16842865188492195,42.919536929224584,254.82325274769252,0.45537664528511423,2.7036768399491082,,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,26.0,438.0,3.0,2.0,2.0,0.0,0.0,24.0,63.0,1.0,1.0,0.0,0.0
40,28,2,1.1,bounded,hard,19.16375406271035,False,14.942996625002706,0.5892472449652767,True,43.88771087501664,max_iterations,726400,0.21036868522002933,False,0.19695424071820422,0.16893568055163138,True,5062,8415,300.1845649169991,0.16893568055163138,18.99481838215872,112.43816771054107,0.4203115644136453,2.4879975801511427,,3.0,24.0,747.95,10.0,3.0,0.0,0.0,0.0,26.0,371.69999999999993,3.0,2.0,9.0,0.0,0.0,24.0,62.849999999999966,1.0,1.0,0.0,0.0
40,28,3,1.1,bounded,hard,42.96801817089055,False,12.125837833009427,0.587909151180348,True,40.240937833004864,max_iterations,726400,0.20686290014233416,False,0.11719394059658973,0.18261982171141505,True,5062,8335,300.2559734590177,0.18261982171141505,42.78539834917914,234.2867162404241,0.405289329468933,2.2193063473109254,,7.0,25.0,576.0,10.0,2.0,0.0,0.0,0.0,26.0,394.0,2.0,2.0,0.0,0.0,0.0,25.0,53.0,1.0,1.0,0.0,0.0
40,28,4,1.1,bounded,hard,49.328168949825674,False,11.630845249979757,0.6509337844121129,True,38.05036079202546,max_iterations,713600,0.3303749645285345,False,0.12612786937704235,0.28870543528688675,True,5030,8271,300.1317890830105,0.28870543528688675,49.03946351453879,169.85985548144686,0.36222834912522617,1.2546641138407375,,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,25.0,474.9500000000001,3.0,2.0,1.0,0.0,0.0,24.0,69.30000000000007,1.0,2.0,0.0,0.0
20,14,0,1.3,bounded,hard,37.405428992289394,False,0.6282755419961177,0.4479254776716759,True,4.830168334010523,max_iterations,182400,0.40480440848928595,False,0.10739857987674312,0.36132890175874927,True,1242,2140,300.0450304579863,0.36132890175874927,37.04410009053065,102.52182958578861,0.08659657591292663,0.2396613597512471,,6.0,7.0,213.00000000000003,6.0,2.0,40.0,0.0,0.0,8.0,50.39999999999998,1.0,1.0,4.0,0.0,0.0,8.0,32.99999999999997,1.0,1.0,0.0,0.0
20,14,1,1.3,bounded,hard,61.58404605049162,False,0.7613942909811158,0.48927987901402076,True,4.97832299998845,max_iterations,179200,0.3863349504036479,False,0.08874145723616103,0.35205102392356824,True,1234,2102,300.63475754199317,0.35205102392356824,61.23199502656806,173.92931951779178,0.13722885509045252,0.3897981990253932,,10.0,7.0,287.80000000000007,6.0,2.0,43.0,0.0,0.0,8.0,43.799999999999955,2.0,1.0,5.0,0.0,0.0,8.0,25.999999999999943,1.0,1.0,0.0,0.0
20,14,2,1.3,bounded,hard,31.583146642201413,False,0.4815295410226099,0.46398428074657594,True,4.772550749999937,max_iterations,182400,0.40126960471222783,False,0.08970213844503253,0.365274863076548,True,1242,2140,300.5761974999914,0.365274863076548,31.217871779124867,85.46405716558372,0.09870941767002794,0.27023326171048934,,5.0,8.0,282.19999999999993,6.0,2.0,80.0,0.0,0.0,8.0,56.80000000000007,1.0,1.0,8.0,0.0,0.0,8.0,31.800000000000068,1.0,1.0,0.0,0.0
20,14,3,1.3,bounded,hard,43.53074710928419,False,0.4900077919883188,0.5129444904204747,True,4.495916167012183,max_iterations,179200,0.37140274726468003,False,0.13069746645949046,0.32286134916109205,True,1234,2092,300.25773737501004,0.32286134916109205,43.2078857601231,133.82799109398653,0.1900831412593827,0.5887454220001431,,7.0,8.0,284.99999999999994,6.0,2.0,71.0,0.0,0.0,8.0,55.99999999999994,2.0,1.0,16.0,0.0,0.0,8.0,20.39999999999992,1.0,1.0,3.0,0.0
20,14,4,1.3,bounded,hard,43.49718261158483,False,0.682995540992124,0.5270557989679507,True,4.92697595799109,max_iterations,182400,0.359919639464425,False,0.1265234708085448,0.31438129654471325,True,1242,2130,300.33608712500427,0.31438129654471325,43.18280131504012,137.35804829883827,0.2126745024232375,0.6764858621065888,,7.0,8.0,267.0,6.0,2.0,63.0,0.0,0.0,9.0,56.5,2.0,1.0,28.0,0.0,0.0,8.0,15.0,1.0,1.0,2.0,0.0
